,idlat,lng,coordinates,name,rating,review_count,price_level,category
201,,-0.106613,POINT (-0.106613 51.534469),O2 Academy Islington,3.5,34,2,arts
202,,-0.130548,POINT (-0.130548 51.515096),The Borderline,4.0,33,2,arts
203,,-0.0325703456536754,POINT (-0.0325703456536754 51.4757511346773),The Amersham Arms,4.0,31,2,arts
204,,-0.156518185947144,POINT (-0.156518185947144 51.4925592283224),Royal Court Theatre,4.5,30,2,arts
205,,-0.1819652922312,POINT (-0.1819652922312 51.47813751937),606 Club,4.5,30,2,arts
206,,-0.103971,POINT (-0.103971 51.546742),The Garage,4.0,29,2,arts
207,,-0.130074470926743,POINT (-0.130074470926743 51.5142404105761),The Cafe @ Foyles,3.5,29,2,arts
208,,-0.076071,POINT (-0.076071 51.54871),Dalston Jazz Bar,4.0,28,2,arts
209,,-0.224223,POINT (-0.224223 51.503498),Shepherds Bush Empire,4.0,28,2,arts
210,,-0.085443779326534,POINT (-0.08544377932653401 51.525444588747),XOYO,3.5,28,2,arts
211,,-0.0923129,POINT (-0.0923129 51.5026956),Roxy Bar & Screen,3.5,28,2,arts
212,,-0.231687344180273,POINT (-0.231687344180273 51.5064052302312),Bush Hall Music,4.5,28,2,arts
213,,-0.0747883560309078,POINT (-0.0747883560309078 51.5469106942846),Café Oto,4.0,28,2,arts
214,,-0.12484073638916,POINT (-0.12484073638916 51.4885783958466),Tamesis Dock,3.5,27,2,arts
215,,-0.14925982752823,POINT (-0.14925982752823 51.543146724567),Barfly,3.0,27,2,arts
216,,-0.142984,POINT (-0.142984 51.539693),The Midnight Rebel Band,3.5,27,2,arts
217,,-0.129527,POINT (-0.129527 51.514441),Phoenix Theatre,4.0,27,2,arts
218,,-0.114824050446974,POINT (-0.114824050446974 51.4615158361667),The Prince of Wales,3.5,26,2,arts
219,,-0.2326856,POINT (-0.2326856 51.4968774),Andover Arms,4.5,26,2,arts
220,,-0.14065004384714,POINT (-0.14065004384714 51.549771394244),The Oxford,3.5,26,2,arts
221,,-0.14318484710043,POINT (-0.14318484710043 51.538732436501),Jazz Cafe,3.5,26,2,arts
222,,-0.166769027709961,POINT (-0.166769027709961 51.4269222179313),Tooting Tram and Social,4.0,25,2,arts
223,,-0.100755123837709,POINT (-0.100755123837709 51.4527530528328),The Half Moon,4.0,25,2,arts
224,,-0.1353042,POINT (-0.1353042 51.5203316),Pollock's Toy Museum,4.0,25,2,arts
225,,-0.0837498451732586,POINT (-0.08374984517325861 51.5259291627647),Floripa,3.0,24,2,arts
226,,-0.14199077760942,POINT (-0.14199077760942 51.552239161752),The Forum,3.5,24,2,arts
227,,-0.17040910213262,POINT (-0.17040910213262 51.462851913426),Project Orange,4.5,24,2,arts
228,,-0.138423442840576,POINT (-0.138423442840576 51.5568156548447),Aces & Eights,4.0,23,2,arts
229,,-0.127672,POINT (-0.127672 51.512847),St Martin's Theatre,4.0,23,2,arts
230,,-0.055035735750951,POINT (-0.055035735750951 51.544696928041),Hackney Picturehouse,4.0,23,2,arts
231,,-0.11206571910713,POINT (-0.11206571910713 51.4705975325762),Brixton Jamm,3.0,23,2,arts
232,,-0.123096,POINT (-0.123096 51.524132),Curzon Bloomsbury,4.0,23,2,arts
233,,-0.1034354,POINT (-0.1034354 51.5432942),Hope & Anchor,3.5,23,2,arts
234,,-0.125271,POINT (-0.125271 51.51455),Mysteries,4.0,23,2,arts
235,,-0.1059079,POINT (-0.1059079 51.5314166),Old Red Lion Theatre Pub,4.0,23,2,arts
236,,-0.077923841826091,POINT (-0.07792384182609099 51.52792278892),Catch,3.5,22,2,arts
237,,-0.0713196999300147,POINT (-0.0713196999300147 51.5523861372771),Shacklewell Arms,3.5,21,2,arts
238,,-0.14234,POINT (-0.14234 51.499837),The Queen's Gallery,3.5,21,2,arts
239,,-0.14565062803498,POINT (-0.14565062803498 51.537438632465),Green Note,4.0,20,2,arts
240,,-0.131048,POINT (-0.131048 51.514502),Jazz After Dark,4.0,20,2,arts
241,,-0.0752017300954,POINT (-0.0752017300954 51.5515994924597),Birthdays,3.5,20,2,arts
242,,-0.201921745849805,POINT (-0.201921745849805 51.5170565400035),The Tabernacle,4.0,20,2,arts
243,,-0.079559,POINT (-0.079559 51.561951),The Auld Shillelagh,4.0,19,2,arts
244,,-0.1327519,POINT (-0.1327519 51.5650346),The Sitara,4.5,19,2,arts
245,,-0.12766745324286,POINT (-0.12766745324286 51.476471418827),Cavendish Arms,4.0,19,2,arts
246,,-0.12570490374756,POINT (-0.12570490374756 51.514008285739),Donmar Warehouse,4.5,19,2,arts
247,,-0.119120301986909,POINT (-0.119120301986909 51.5122360690504),Novello Theatre,4.5,18,2,arts
248,,-0.169394,POINT (-0.169394 51.463081),The Clapham Grand,3.5,18,2,arts
249,,-0.144396403991396,POINT (-0.144396403991396 51.5236776488928),229 The Venue,3.5,18,2,arts
250,,-0.084333,POINT (-0.08433300000000001 51.526634),Roadtrip & The Workshop,3.0,18,2,arts
251,,-0.0760137393303717,POINT (-0.0760137393303717 51.5423317678967),The Haggerston,3.5,18,2,arts
252,,-0.1508424,POINT (-0.1508424 51.4753843),The Magic Garden,4.0,17,2,arts
253,,-0.20147,POINT (-0.20147 51.419208),New Wimbledon Theatre,4.0,17,2,arts
254,,-0.108245629127386,POINT (-0.108245629127386 51.5669706786338),The World's End,3.5,17,2,arts
255,,-0.1352633,POINT (-0.1352633 51.5186328),Vagabond Wines,4.0,17,2,arts
256,,-0.163737103108435,POINT (-0.163737103108435 51.5885134384397),Phoenix Cinema,4.5,17,2,arts
257,,-0.205718,POINT (-0.205718 51.419587),Suburban Bar & Lounge,4.5,16,2,arts
258,,-0.057529,POINT (-0.057529 51.534844),Victor Wynd Museum of Curiosities,4.0,16,2,arts
259,,-0.020732,POINT (-0.020732 51.587843),Ye Olde Rose & Crown Theatre Pub,4.0,15,2,arts
260,,-0.07518080474243,POINT (-0.07518080474243 51.550996571052),Efes Snooker Club,3.5,15,2,arts
261,,-0.206798,POINT (-0.206798 51.51786),Mau Mau Bar,3.5,15,2,arts
262,,-0.044002543242645,POINT (-0.044002543242645 51.513046454246),Troxy,4.0,15,2,arts
263,,-0.172128288585462,POINT (-0.172128288585462 51.4966547023093),Victoria and Albert Museum Shop,4.5,15,2,arts
264,,-0.14655590057373,POINT (-0.14655590057373 51.541464179732),Dingwalls,4.0,15,2,arts
265,,-0.12204283764421,POINT (-0.12204283764421 51.536349393253),The Star of Kings,3.5,15,2,arts
266,,-0.104026,POINT (-0.104026 51.536001),Ladybird Bar,3.0,15,2,arts
267,,-0.0951608,POINT (-0.0951608 51.5081675),Tate Modern Members Room,3.5,14,2,arts
268,,-0.102022786508314,POINT (-0.102022786508314 51.5460543442144),The Hen & Chickens Theatre Bar,4.0,14,2,arts
269,,-0.1170948,POINT (-0.1170948 51.4996224),Florence Nightingale Museum,4.0,14,2,arts
270,,-0.0077916,POINT (-0.0077916 51.4796935),Oliver's,4.0,14,2,arts
271,,-0.009072,POINT (-0.009072 51.481164),Red Door,4.0,14,2,arts
272,,-0.0765167,POINT (-0.07651670000000001 51.54932),The Vortex Jazz Club,4.0,14,2,arts
273,,-0.103391147617971,POINT (-0.103391147617971 51.4910865673158),Toulouse Lautrec,4.0,14,2,arts
274,,-0.0668924,POINT (-0.0668924 51.4679321),The Four Quarters,4.0,14,2,arts
275,,-0.1349088,POINT (-0.1349088 51.5144039),St Moritz Club,4.0,14,2,arts
276,,-0.038290506798089,POINT (-0.038290506798089 51.529283973369),The Victoria,3.0,13,2,arts
277,,-0.14892,POINT (-0.14892 51.543273),Spiritual Caipirinha Bar,4.5,13,2,arts
278,,-0.1482112,POINT (-0.1482112 51.5165634),Wigmore Hall,4.5,12,2,arts
279,,-0.202903747558594,POINT (-0.202903747558594 51.4986047704421),Leighton House Museum,4.5,12,2,arts
280,,-0.079688,POINT (-0.07968799999999999 51.474248),South London Gallery,4.5,12,2,arts
